Start Day,Member Count,Casual Count,Member Duration Avg,Casual Duration Avg
2014-01-01,5407,652,11.66,46.25
2014-01-02,8419,181,12.79,21.91
2014-01-03,1123,21,13.33,16.36
2014-01-04,2263,29,20.29,28.75
2014-01-05,2643,35,13.61,23.73
2014-01-06,9409,101,12.22,67.49
2014-01-07,6239,28,12.08,17.17
2014-01-08,9189,57,10.18,19.53
2014-01-09,13191,163,10.7,24.07
2014-01-10,9719,128,11.12,16.84
2014-01-11,7501,194,11.94,29.01
2014-01-12,11739,776,11.25,24.49
2014-01-13,20045,588,11.35,26.36
2014-01-14,9842,157,10.8,30.81
2014-01-15,21045,585,11.42,21.87
2014-01-16,19485,468,11.13,22.34
2014-01-17,19519,782,11.52,29.53
2014-01-18,8960,478,13.21,30.39
2014-01-19,8576,452,12.26,39.06
2014-01-20,12891,516,12.49,28.35
2014-01-21,3779,25,14.3,13.5
2014-01-22,2423,28,16.01,65.46
2014-01-23,5037,34,15.41,14.62
2014-01-24,6131,45,12.98,20.33
2014-01-25,4265,73,11.3,21.23
2014-01-26,4892,88,11.65,29.18
2014-01-27,13001,118,10.41,23.81
2014-01-28,9986,47,14.11,37.81
2014-01-29,9966,55,11.12,20.54
2014-01-30,12045,113,11.12,18.95
2014-01-31,14416,237,11.53,22.54
2014-02-01,12027,744,12.86,26.79
2014-02-02,12837,979,12.83,25.67
2014-02-03,2578,22,13.28,14.4
2014-02-04,8624,85,12.43,24.21
2014-02-05,2720,26,15.4,17.74
2014-02-06,7123,73,17.06,45.65
2014-02-07,8427,68,17.44,23.1
2014-02-08,5870,116,16.89,41.89
2014-02-09,4902,94,16.86,30.8
2014-02-10,6804,42,14.38,18.94
2014-02-11,8299,44,16.37,31.64
2014-02-12,8534,46,13.59,105.39
2014-02-13,873,3,81.31,23.83
2014-02-14,3575,34,28.71,49.33
2014-02-15,2213,48,18.3,20.77
2014-02-16,2916,87,21.12,29.11
2014-02-17,4753,101,15.57,41.78
2014-02-18,5090,50,14.56,21.97
2014-02-19,8429,77,14.01,30.34
2014-02-20,11601,191,13.01,47.53
2014-02-21,8551,129,11.65,18.68
2014-02-22,11636,1408,14.73,30.83
2014-02-23,11883,1441,13.86,29.78
2014-02-24,12696,226,12.32,27.62
2014-02-25,12633,197,11.34,17.37
2014-02-26,11068,120,11.0,17.36
2014-02-27,11894,142,10.39,21.01
2014-02-28,9463,124,11.01,17.28
2014-03-01,8614,588,11.15,22.55
2014-03-02,7758,437,10.67,20.83
2014-03-03,7583,125,11.29,21.53
2014-03-04,10271,127,10.23,18.4
2014-03-05,13582,219,10.3,24.31
2014-03-06,12598,175,10.11,16.54
2014-03-07,13052,252,10.86,20.65
2014-03-08,13981,2369,14.05,26.59
2014-03-09,11061,1201,11.46,24.13
